machine_type,vibration_mm_s,spindle_current_percent,spindle_temperature_C,acoustic_dba,lubrication_pressure_bar,coolant_temperature_C,active_failure,status
cnc,2.45,48.19,52.35,80.72,0.78,26.01,lubrication_failure,fault
cnc,3.67,50.8,53.29,95.44,0.82,24.99,lubrication_failure,warning
cnc,0.43,23.71,26.67,55,2.24,24.47,none,running
cnc,1.31,45.76,48.78,86.63,1.95,27.54,tool_wear,running
cnc,0.73,39.65,39.24,70.24,2.2,25.69,none,running
cnc,3.3,49.22,53.07,78.95,1.93,25.68,spindle_bearing_failure,warning
cnc,1.5,54.17,43.21,83,2.02,25.99,tool_wear,running
cnc,2.9,62.71,58.77,104.37,2.1,26.87,spindle_bearing_failure,warning
cnc,2.59,40.14,65.4,86.78,0.99,25.85,lubrication_failure,warning
cnc,0.61,35.79,36.34,72.89,2.1,25.8,none,running
cnc,2.58,46.85,55.82,87.69,1,25.6,lubrication_failure,warning
cnc,1.17,50.93,46.12,87.31,2.25,25.48,tool_wear,running
cnc,1.77,48.11,55.25,87.3,0.85,27.35,lubrication_failure,warning
cnc,0.49,29.51,26.65,55,2.17,23.9,none,running
cnc,4.15,53.32,60.23,104.81,1.92,24.81,tool_breakage,warning
cnc,0.48,23.41,26.03,55,2.16,24.93,none,running
cnc,0.48,24.66,21.51,55,2.11,25.83,none,running
cnc,3.65,56.84,70.23,102.79,2.12,24.68,spindle_bearing_failure,fault
cnc,2.98,46.68,58,84.97,1.86,25.67,spindle_bearing_failure,warning
cnc,1.04,53.04,43.85,87.56,1.98,27.22,tool_wear,running
cnc,0.76,48.4,43.47,86.46,2.06,25.77,none,running
cnc,1.09,47.24,49.39,81.87,2.09,24.79,tool_wear,running
cnc,3.79,49.26,66.02,90.91,1.94,25.89,spindle_bearing_failure,warning
cnc,0.61,30.86,23.1,55,2.12,24.7,tool_wear,running
cnc,3.99,50.44,62.71,88.49,2.1,24.6,spindle_bearing_failure,warning
cnc,1.14,55.23,38.17,75.71,2.18,27.32,tool_wear,running
cnc,3.83,40.37,44.98,81.4,1.89,25.83,spindle_bearing_failure,warning
cnc,0.93,44.03,41.44,81.95,2.13,25.69,none,running
cnc,0.87,39.77,42.98,72.38,1.95,27.48,none,running
cnc,2.81,40.44,50.45,85.31,1.04,25.28,lubrication_failure,warning
cnc,0.88,45.48,42.88,86.28,1.97,26.91,none,running
cnc,0.67,38.26,35.48,68.91,2.1,26.59,none,running
cnc,1.21,56.65,39.17,78.55,2.2,27.58,tool_wear,running
cnc,1.17,21.94,28.93,55,1.05,26.25,lubrication_failure,warning
cnc,2.64,54.77,51.76,82.59,1.97,26.54,spindle_bearing_failure,warning
cnc,1.46,30.71,42.67,62.63,0.8,27.27,lubrication_failure,warning
cnc,1.32,46.86,42.44,79.73,1.9,26.1,tool_wear,running
cnc,3.97,51.72,48.32,80.85,1.95,26.7,spindle_bearing_failure,warning
cnc,3.55,59.75,59.97,91.29,0.92,25.96,lubrication_failure,warning
cnc,3.41,57,64.74,91.3,1.28,25.51,lubrication_failure,warning
cnc,1.88,44.59,51.63,80.46,1.27,26.52,lubrication_failure,running
cnc,1.77,52.37,61.44,83.96,0.91,26.16,lubrication_failure,warning
cnc,3.78,55.58,60.42,108.65,1.1,25.69,lubrication_failure,warning
cnc,1.42,39.39,54.34,79.88,1.05,26.05,lubrication_failure,warning
cnc,0.71,30.04,23.51,55,2.09,24.2,tool_wear,running
cnc,0.87,38.45,37.5,80.72,2.03,26.48,none,running
cnc,0.65,42.05,44.21,83.94,2.01,27.18,none,running
cnc,3.33,51.61,69.88,91.42,1.29,25.94,lubrication_failure,warning
cnc,2.49,29.89,36.94,55,2.23,27.51,spindle_bearing_failure,warning
cnc,1.23,62.65,50.35,89.26,2.2,26.94,tool_wear,running
cnc,1.39,55.27,53.08,91.02,1.91,26.63,tool_wear,running
cnc,1.28,56.22,48.59,94.84,2.17,24.83,tool_wear,warning
cnc,0.79,51.28,44.27,83.74,2.17,26.26,none,running
cnc,2.14,44.91,50.32,78.24,2.03,24.89,spindle_bearing_failure,warning
cnc,1.27,66.06,51.05,91.56,2.33,24.14,tool_wear,running
cnc,2.92,43.48,56.98,80.38,0.85,26.34,tool_wear,warning
cnc,1.19,53.73,49.74,86.09,2.03,25.21,tool_wear,running
cnc,3.36,61.56,54.92,99.73,1.99,26.23,spindle_bearing_failure,warning
cnc,1.87,28.37,27.43,55,0.61,25.86,lubrication_failure,fault
cnc,0.75,41.58,40.49,80.75,2.05,25.99,none,running
cnc,2.73,48.06,64.57,85.11,2.28,27.31,spindle_bearing_failure,warning
cnc,0.9,45.24,41.57,80.95,2.17,27.25,none,running
cnc,0.94,43.48,41.87,82.95,2.09,25.56,none,running
cnc,2.53,45.26,57.14,84.54,2.01,25.44,spindle_bearing_failure,warning
cnc,1.44,39.7,39.44,61.25,2,27.3,spindle_bearing_failure,running
cnc,1.51,41.03,40.59,61.62,2.18,24.55,spindle_bearing_failure,running
cnc,1.79,56.45,49.21,88.94,1.96,24.7,tool_wear,running
cnc,3.87,46.59,56.42,79.36,2.12,24.45,spindle_bearing_failure,warning
cnc,0.88,47.02,45.63,82.65,2.04,24.73,none,running
cnc,1.44,58.83,46.98,83.35,2.09,26.24,tool_wear,running
cnc,1.02,36.93,29.18,55.04,1.79,25.51,tool_wear,running
cnc,2.32,26.53,31.02,55,2.18,27.34,spindle_bearing_failure,warning
cnc,2.56,39.87,58,72.6,0.76,27.24,lubrication_failure,fault
cnc,2.2,54.47,72.15,99.84,2.28,26.17,spindle_bearing_failure,fault
cnc,1.37,50.81,37.71,74.47,1.82,25.41,tool_wear,running
cnc,0.63,31.81,22.65,55,2.14,26.72,tool_wear,running
cnc,3.68,64.32,71.29,89.8,2.24,27.65,spindle_bearing_failure,fault
cnc,2.93,62.55,65.2,90.85,1.29,27.18,lubrication_failure,warning
cnc,1,44.28,43.77,74.66,2.15,25.81,tool_wear,running
cnc,1.08,46.23,44.6,77.05,2.12,26.48,tool_wear,running
cnc,1.37,57.55,56.24,89.62,2.1,26.19,tool_wear,running
cnc,2.46,47.05,48.65,71.59,0.73,26.07,lubrication_failure,fault
cnc,1.7,37.57,33.87,58.65,0.58,26.6,lubrication_failure,fault
cnc,1.72,50.99,52.02,82.74,0.71,25.89,lubrication_failure,fault
cnc,1.66,60.53,50.22,85.77,2.12,26.7,tool_wear,running
cnc,4.17,51.99,67.54,88.35,2.15,26.98,spindle_bearing_failure,warning
cnc,1.54,47.16,45.59,85.7,2.11,26.71,tool_wear,running
cnc,1.06,53.63,51.2,82.38,2.13,26.23,tool_wear,running
cnc,1.59,42.11,49.07,88.96,0.99,26.44,lubrication_failure,warning
cnc,0.84,49.79,46.32,85.34,1.92,25.82,none,running
cnc,4.41,51.18,57.14,96.9,1.89,27.82,spindle_bearing_failure,warning
cnc,1.54,26.81,26.32,55,1.09,27.71,lubrication_failure,warning
cnc,3.54,49.86,47.49,76.94,1.07,26.97,lubrication_failure,warning
cnc,1.22,54.85,55.11,97.3,1.97,25.41,tool_wear,warning
cnc,3.29,50.49,64.32,95.61,1.1,26.82,lubrication_failure,warning
cnc,0.85,30.04,28.59,55,2.31,26.01,tool_wear,running
cnc,0.76,40.31,38.18,77.86,2.09,25.86,none,running
cnc,0.67,44.04,37.03,71.78,1.89,27.12,none,running
cnc,1.32,65.93,46,92.33,1.83,26.81,tool_wear,warning
cnc,1.26,61.11,51.37,89.11,2.09,26.21,tool_wear,running
cnc,1.45,58.23,49.92,97.43,2.14,25.84,tool_wear,warning
cnc,2.6,57.09,67.35,84.57,1.26,24.85,lubrication_failure,warning
cnc,2.77,52.42,46.38,75.7,1.1,25.95,lubrication_failure,warning
cnc,1.69,43.12,50.86,75.14,0.94,25.18,lubrication_failure,warning
cnc,3.61,50.94,62.21,79.91,0.75,24.2,lubrication_failure,fault
cnc,3.43,53.38,62.16,98.67,0.9,26.53,lubrication_failure,warning
cnc,1.67,49.32,57,85.05,1.24,27.31,lubrication_failure,running
cnc,1.48,30.08,34.67,55,0.98,26.54,lubrication_failure,warning
cnc,1.05,34.77,31.55,55,1.03,24.88,lubrication_failure,warning
cnc,1.31,50.19,53.58,90.89,2.14,24.76,tool_wear,running
cnc,3.41,52.17,47.14,80.34,2.03,26.32,spindle_bearing_failure,warning
cnc,2.96,46.82,57.23,97.97,2.01,24.75,spindle_bearing_failure,warning
cnc,2.15,48.78,51.74,87.62,1.2,26.86,lubrication_failure,warning
cnc,3.73,62.52,70.34,89.71,1.2,25.83,lubrication_failure,fault
cnc,3.43,60.12,56.2,105.28,1.09,25.8,lubrication_failure,warning
cnc,0.92,44.89,46.27,90.97,1.95,27.14,none,running
cnc,1.49,52.62,50.52,81.6,2.1,26.13,tool_wear,running
cnc,1.05,51.62,43.35,77.54,1.87,25.84,tool_wear,running
cnc,0.84,36.16,28.77,55,2.07,26.17,tool_wear,running
cnc,1.02,50.93,46.6,81.2,2.23,26.14,tool_wear,running
cnc,1.69,54.1,51.9,93.38,2.25,25.24,tool_wear,warning
cnc,0.97,27.94,26.81,55,1.94,26.61,tool_wear,running
cnc,1.52,53.12,49.14,94.29,2.25,26.52,tool_wear,warning
cnc,0.98,35.54,31.42,55,2.18,26.29,tool_wear,running
cnc,2.28,40.34,58.25,76.16,1.23,25.57,lubrication_failure,warning
cnc,0.69,39.74,42.35,78.23,2.23,26.38,none,running
cnc,2,40.12,49.57,72.21,0.9,24.92,lubrication_failure,warning
cnc,0.77,45.63,43.41,84.76,2.18,26.68,none,running
cnc,1.9,63.41,55.09,88.71,2.18,26.63,tool_wear,running
cnc,2.26,40.33,63.77,84.97,1.34,25.14,lubrication_failure,warning
cnc,1.56,47.73,41.89,86.27,1.92,26.7,tool_wear,running
cnc,2.78,55.35,65.8,91.87,0.64,25.47,lubrication_failure,fault
cnc,0.75,42.47,40.29,77.07,2.15,23.99,none,running
cnc,1.78,30.68,33,55,1.96,26.8,spindle_bearing_failure,running
cnc,2.21,32.68,40.78,59.8,0.75,27.56,lubrication_failure,fault
cnc,1.33,58.34,48.26,83.12,2.2,25.3,tool_wear,running
cnc,1.55,63.81,53.45,95.38,2.15,25.11,tool_wear,warning
cnc,1.97,48.28,61.56,81.87,2.07,26.57,spindle_bearing_failure,warning
cnc,2.63,46.59,68.82,89.95,0.79,26.77,lubrication_failure,fault
cnc,1.39,43.52,42.34,72.44,1.94,26.42,tool_wear,running
cnc,0.8,36.25,39.94,69.49,2,25.46,none,running
cnc,0.69,36.84,35.63,67.04,2.04,25.14,none,running
cnc,1.28,54.55,47.76,93.43,1.83,24.46,tool_wear,warning
cnc,0.94,42.01,32.85,60.48,1.87,24.64,tool_wear,running
cnc,0.75,25.48,23.37,55,2.18,26.51,tool_wear,running
cnc,0.89,48.12,47.03,84.33,2.06,24.69,none,running
cnc,2.63,43.49,61.62,84.32,2.28,26.83,spindle_bearing_failure,warning
cnc,2.91,56.7,50.77,86.77,2,27.08,spindle_bearing_failure,warning
cnc,0.73,45.02,39.32,75.99,1.96,28.13,none,running
cnc,0.72,36.61,33.51,69.03,2.18,26.5,none,running
cnc,0.78,45.63,43.19,78.07,1.95,25.03,none,running
cnc,1.58,61.94,52.55,98.28,2.11,25.27,tool_wear,warning
cnc,1.06,47.16,40.1,71.8,1.85,27.4,tool_wear,running
cnc,1.21,51.44,50.87,86.82,2.02,26.38,tool_wear,running
cnc,2.39,43.22,54.2,72.71,0.79,25.99,lubrication_failure,fault
cnc,1.67,41.53,54.4,76.02,0.99,26.66,lubrication_failure,warning
cnc,3.09,52.71,77.05,102.46,2.16,25.45,spindle_bearing_failure,fault
cnc,1.46,52.54,40.59,72.3,2.1,24.89,tool_wear,running
cnc,1.67,59.6,45.09,85,1.91,24.76,lubrication_failure,running
cnc,0.75,35.41,37.4,75.44,1.99,27.01,none,running
cnc,0.76,40.45,39.29,75.83,1.96,25.64,none,running
cnc,1.13,66.42,51.33,99.53,2.34,26.33,tool_wear,warning
cnc,0.9,43.58,41.88,83.23,2.03,26.58,none,running
cnc,1.5,57.66,50,92.09,1.99,26.05,tool_wear,warning
cnc,0.93,44.66,44.19,84.07,1.96,25.91,none,running
cnc,0.37,18.56,20,55,2.09,25.59,none,running
cnc,2.1,34.05,35.69,55.47,1.29,25.84,lubrication_failure,warning
cnc,0.57,21.79,24.13,55,2.04,25.97,tool_breakage,running
cnc,0.85,35.94,30.99,56.56,2.26,25.89,tool_wear,running
cnc,0.57,36.01,35.64,71.33,2.21,26.11,none,running
cnc,3.17,37.36,46.39,74.27,0.91,26.02,lubrication_failure,warning
cnc,4.41,52.93,60.2,96.64,2.12,26.16,spindle_bearing_failure,warning
cnc,1.24,66.76,47.16,92.85,2,26.4,tool_wear,warning
cnc,2.57,43,59.58,75.92,1.41,26.75,lubrication_failure,warning
cnc,1.34,37.28,41.88,61.71,1.08,26.9,lubrication_failure,warning
cnc,1.13,48.58,42.19,78.14,2.23,25.78,tool_wear,running
cnc,1.32,30.2,37.03,55,0.94,27.67,lubrication_failure,warning
cnc,1.98,36.18,58.4,74.28,0.79,27.34,lubrication_failure,fault
cnc,0.76,43.5,43.15,79.71,2.13,26.87,none,running
cnc,0.85,33.39,36.13,70.7,2.13,25.48,none,running
cnc,1.68,48.93,53.55,80.55,1.96,25.25,spindle_bearing_failure,running
cnc,1.02,27.05,29.96,55,1.16,26.1,lubrication_failure,warning
cnc,1.45,66.2,55.15,104.17,2.22,27.01,tool_wear,warning
cnc,1.6,62.95,47.84,86.68,2.04,25.07,tool_wear,running
cnc,2.57,33.52,35.37,57.51,0.66,26.56,lubrication_failure,fault
cnc,0.94,39.61,32.05,59.74,2.08,27.1,tool_wear,running
cnc,0.88,42.55,41.27,75.8,2.19,24.61,none,running
cnc,1.12,30.18,40.61,55.69,0.84,27.35,lubrication_failure,warning
cnc,0.86,45.47,42.02,77.63,2.09,27.42,none,running
cnc,1.2,51.86,41.45,71.81,1.99,25.44,tool_wear,running
cnc,2.11,57.58,60.03,99.66,0.8,25.95,lubrication_failure,warning
cnc,0.68,42.89,38.13,71.83,2.15,26.26,none,running
cnc,3.89,62.37,66.81,100.51,2.28,25.36,spindle_bearing_failure,warning
cnc,1.4,48.08,44.61,82.91,2,25.88,tool_wear,running
cnc,0.61,27.93,25.14,55,1.95,25.71,tool_wear,running
cnc,3.23,48.68,58.75,86.66,0.66,24.53,lubrication_failure,fault
cnc,0.45,20.34,21.8,55,1.96,27.79,none,running
cnc,2.88,42.62,44.77,76.55,1.97,25.23,spindle_bearing_failure,warning
cnc,2.94,43.03,48.38,84.25,1.11,26.02,lubrication_failure,warning
cnc,1.23,53.97,46.88,77.46,2.09,24.81,tool_wear,running
cnc,2.64,48.55,52.5,88.1,1.2,27.62,lubrication_failure,warning
cnc,3.06,49.06,52.7,84.52,1.99,26.62,spindle_bearing_failure,warning
cnc,1.39,59.63,49.75,93.41,2.08,26.04,tool_wear,warning
cnc,0.9,46.19,42.27,84.36,2.03,26.61,none,running
cnc,0.66,28.48,22.68,55,2.2,27.09,tool_wear,running
cnc,6.36,70.63,43.89,91.77,2.18,25.27,tool_breakage,fault
cnc,3.48,45.66,52.76,92.19,1.21,26.02,lubrication_failure,warning
cnc,6.75,94.52,49.41,99.39,2.34,25.27,tool_breakage,fault
cnc,0.7,37.91,36.4,68.5,1.94,25.94,none,running
