machine_type,vibration_mm_s,motor_current_A,gearbox_temperature_C,belt_speed_mps,load_kg,belt_alignment_mm,active_failure,status
conveyor,2.04,7.7,52.44,1.63,170.68,6.51,belt_misalignment,warning
conveyor,2.35,8.18,57.99,1.21,295.19,5.53,roller_bearing_failure,warning
conveyor,1.55,7.55,45.27,1.11,175.25,11.3,belt_misalignment,fault
conveyor,2.43,12.07,55.61,0.91,392.08,5.53,overload,fault
conveyor,1.74,8.68,46.93,1.39,240.38,9.99,belt_misalignment,warning
conveyor,1.44,5.73,45.02,1.34,146.5,2.88,none,running
conveyor,4.13,7.07,48.23,1.21,236.77,2.24,roller_bearing_failure,fault
conveyor,0.96,6.48,48.26,1.53,178.64,2.9,none,running
conveyor,2.97,6.24,39.75,1.59,233.69,6.51,roller_bearing_failure,warning
conveyor,0.98,5.33,41.37,1.37,224.8,3.23,none,running
conveyor,0.97,15.89,50.08,1.12,260.94,4.13,overload,fault
conveyor,1.01,6.94,51.58,1.15,239.46,8.2,belt_misalignment,warning
conveyor,3.7,16.53,59.08,1.15,490.63,4.98,overload,fault
conveyor,2.63,17.06,47.33,1.06,449.18,5.07,overload,fault
conveyor,2.2,7.76,47.3,1.62,256.87,4.81,roller_bearing_failure,warning
conveyor,1.16,7.34,40.53,1.67,284.85,3.37,none,warning
conveyor,0.95,9.93,45.55,1.43,206.84,13.37,belt_misalignment,fault
conveyor,2.81,6.13,59.08,1.21,259.04,5.11,roller_bearing_failure,warning
conveyor,1.81,8.66,55.07,1.41,145.79,11.89,belt_misalignment,fault
conveyor,3.46,6.77,55.41,1.55,201.3,8.89,belt_misalignment,warning
conveyor,2.98,7.69,62.84,1.23,193.92,9.98,belt_misalignment,warning
conveyor,1.25,8.42,59.24,1.57,209.58,1.51,roller_bearing_failure,running
conveyor,1.21,7.75,50.13,1.14,216.69,11.66,belt_misalignment,fault
conveyor,2.64,9.86,51.24,1.05,238.78,7.6,belt_misalignment,warning
conveyor,1.5,8.84,65.16,1.18,291.73,13.01,belt_misalignment,fault
conveyor,2.63,10.85,65.83,1.47,262.21,14.27,belt_misalignment,fault
conveyor,2.63,6.33,53.84,1.2,314.27,13.2,belt_misalignment,fault
conveyor,1.28,6.08,40.29,1.57,242.99,1.94,none,running
conveyor,3.49,7.33,43.53,1.53,295.1,6.76,belt_misalignment,warning
conveyor,1.89,9.16,61.58,1.54,238.47,11.87,belt_misalignment,fault
conveyor,3.15,5.37,57.09,1.56,139.32,3.7,roller_bearing_failure,warning
conveyor,3.96,7.89,44.21,1.37,145.67,3.29,roller_bearing_failure,warning
conveyor,1.91,6.79,46.29,1.51,260.86,2.63,roller_bearing_failure,running
conveyor,1.46,7.89,46.25,1.71,273.99,0.9,roller_bearing_failure,running
conveyor,2.77,12.16,65.8,0.8,385.07,2.59,overload,fault
conveyor,3.82,7.63,54.52,1.44,234.77,3.66,roller_bearing_failure,warning
conveyor,2.49,14.1,49.64,1.16,307.17,7.64,overload,fault
conveyor,3,10.06,66,1.51,301.7,9.18,belt_misalignment,warning
conveyor,1.66,5.03,47.49,1.54,185.97,3.27,none,running
conveyor,4.11,6.31,54.43,1.59,195.25,4.81,roller_bearing_failure,fault
conveyor,3.91,9.18,42.38,1.52,220.64,3.99,roller_bearing_failure,warning
conveyor,1.74,10.64,48.78,1.25,173.1,14.29,belt_misalignment,fault
conveyor,3.65,5.73,44.64,1.61,228.97,2.96,roller_bearing_failure,warning
conveyor,1.25,7.17,49.57,1.55,178.1,0.79,none,running
conveyor,2.66,6.12,49.83,1.49,199.28,6.05,jam,warning
conveyor,2.85,8.77,48.82,1.31,185.65,4.33,roller_bearing_failure,warning
conveyor,0.69,8.06,42.09,1.38,228.45,3.1,none,running
conveyor,2.64,19.27,62.59,0.92,460.09,4.18,overload,fault
conveyor,2.12,10.48,46.06,1.18,228.76,6.6,belt_misalignment,warning
conveyor,0.69,6.81,38.83,1.37,204.83,3.92,none,running
conveyor,4.03,8.2,57.86,1.29,155.65,5.1,roller_bearing_failure,fault
conveyor,3.63,6.38,60.37,1.3,215.62,11.53,belt_misalignment,fault
conveyor,4.6,8.78,52.21,1.39,287.57,2.07,roller_bearing_failure,fault
conveyor,3.52,6.72,50.35,1.32,214.24,13.4,belt_misalignment,fault
conveyor,4.52,8.21,48.91,1.62,220.03,1.54,roller_bearing_failure,fault
conveyor,3.02,7.22,55.97,1.68,266.46,4.52,roller_bearing_failure,warning
conveyor,0.6,5.64,43.67,1.64,174.17,0.44,none,running
conveyor,0.86,5.83,38.94,1.45,205.57,3.8,none,running
conveyor,2.99,12.77,60.45,0.8,330,2.65,overload,warning
conveyor,1,8.02,38.44,1.48,209.26,1.81,none,running
conveyor,1.61,8.24,52.73,1.59,258.61,6.15,roller_bearing_failure,warning
conveyor,2.45,5.65,45.67,1.27,151.11,5.9,roller_bearing_failure,warning
conveyor,0.79,7.13,42.37,1.41,302.63,2.1,none,warning
conveyor,1.49,8.92,52.37,1.4,207.6,6.08,roller_bearing_failure,warning
conveyor,2.98,6.42,63.86,1.41,276.65,9.49,belt_misalignment,warning
conveyor,1.2,5.69,41.59,1.57,184.07,1.68,none,running
conveyor,2.02,12.07,55.3,1.32,443.25,4.57,overload,fault
conveyor,1.63,5.87,42.67,1.33,153.63,4.95,none,running
conveyor,3.01,10.04,53.89,1.48,197.58,11.8,belt_misalignment,fault
conveyor,1.58,6.13,43.48,1.3,153.49,13.33,belt_misalignment,fault
conveyor,2.6,6.5,51.35,1.49,315.84,2.95,roller_bearing_failure,warning
conveyor,1.41,9.24,48.03,1.42,252.7,4.1,roller_bearing_failure,running
conveyor,0.98,13.12,63.47,1.35,464.91,5.14,overload,fault
conveyor,0.97,6.05,42.4,1.49,185.17,1.74,none,running
conveyor,4.19,6.22,55.1,1.23,176.77,3.1,roller_bearing_failure,fault
conveyor,0.49,5.32,45.52,1.51,170,3.28,none,running
conveyor,2.17,10.28,52.99,1.43,258.32,14.49,belt_misalignment,fault
conveyor,2.68,6.06,58.97,1.35,173.44,5.06,belt_misalignment,warning
conveyor,0.74,7.08,59.96,1.21,173.15,7.13,belt_misalignment,warning
conveyor,2.82,8.73,47.3,1.37,203.34,2.78,roller_bearing_failure,warning
conveyor,1.03,7.29,43.05,1.35,181.86,2.43,none,running
conveyor,1.26,6.97,42.29,1.43,111.55,3.87,none,running
conveyor,2.89,9.2,41.52,1.51,259.85,9.28,belt_misalignment,warning
conveyor,0.56,6.57,38.56,1.47,207.98,0.08,none,running
conveyor,1.69,7.32,39.26,1.3,330.95,1.58,roller_bearing_failure,warning
conveyor,1.35,6.24,40.6,1.5,169.27,1.17,none,running
conveyor,0.77,9.13,56.43,1.36,231.93,7.68,belt_misalignment,warning
conveyor,2.98,7.64,44.18,1.47,276.21,3.23,roller_bearing_failure,warning
conveyor,1.98,6.35,56.2,1.21,159.66,5.24,roller_bearing_failure,running
conveyor,3.56,13.45,73.36,1.2,390.85,5.96,overload,fault
conveyor,0.89,7.64,36.8,1.69,237.15,1.31,none,running
conveyor,5.73,5.86,41.63,1.48,255.95,4.8,roller_bearing_failure,fault
conveyor,1.02,4.94,37.38,1.47,134.3,3.4,none,running
conveyor,1.36,5.37,47.37,1.54,145.15,1.87,none,running
conveyor,1.22,7.45,46.88,1.12,199.34,10.88,belt_misalignment,fault
conveyor,2.57,16.87,58.24,0.98,437.49,6.86,overload,fault
conveyor,1.27,7.6,47.5,1.46,187.78,3.51,none,running
conveyor,1.38,8.24,56,1.12,253.72,11.39,belt_misalignment,fault
conveyor,1.21,7.3,36.81,1.4,244.48,4.56,roller_bearing_failure,running
conveyor,4.17,6.91,56.72,1.62,128.49,5.8,roller_bearing_failure,fault
conveyor,0.87,7.93,40.2,1.52,161.41,2.99,none,running
conveyor,1.83,9.9,46.07,0.87,268.06,5.17,overload,running
conveyor,3.34,14.42,53.07,0.91,272.94,4.16,overload,fault
conveyor,0.78,5.51,41.16,1.65,188.29,2.59,none,running
conveyor,1.43,7.36,41.34,1.32,165.43,3.76,none,running
conveyor,1.94,9.75,40.71,1.25,137.68,10.91,belt_misalignment,fault
conveyor,2.74,9.7,44.83,1.24,165.5,6.91,belt_misalignment,warning
conveyor,1.14,6.48,37.26,1.57,166.12,0.82,none,running
conveyor,0.97,6.77,46.7,1.53,205.82,2.28,none,running
conveyor,4.67,7.23,48.38,1.27,123.94,4.61,roller_bearing_failure,fault
conveyor,1.37,4.89,41.4,1.37,140.21,2.67,none,running
conveyor,1.3,15.65,64.85,1.21,355.31,3.63,overload,fault
conveyor,1.61,10.62,56.55,1.13,327.56,3.55,overload,warning
conveyor,2.04,8.94,48.86,1.29,414.29,3.13,overload,fault
conveyor,1.09,6.8,41.13,1.39,192.96,4.1,none,running
conveyor,2.07,6.37,60.27,1.47,226.2,4.89,roller_bearing_failure,warning
conveyor,1.45,7.05,57.93,1.46,198.45,5.54,roller_bearing_failure,running
conveyor,0.57,6.76,45.81,1.52,246.87,3.05,none,running
conveyor,1.12,7.07,55.92,1.24,339.88,9.92,belt_misalignment,warning
conveyor,0.97,6.99,38.04,1.59,279.12,2.27,none,running
conveyor,4.34,7.61,49.21,1.41,185.6,5.06,roller_bearing_failure,fault
conveyor,0.86,5.56,45.71,1.42,169.95,1.3,none,running
conveyor,1.84,8.5,55.8,1.33,206.89,7.63,belt_misalignment,warning
conveyor,2.29,6.03,55.24,1.6,272.78,4.5,roller_bearing_failure,warning
conveyor,1.73,7.32,41.15,1.4,293.05,6.74,belt_misalignment,warning
conveyor,2.93,10.46,62.69,1.33,186.53,11.63,belt_misalignment,fault
conveyor,2.4,16.91,69.72,1.32,417.24,5.18,overload,fault
conveyor,0.85,6.49,42.32,1.64,178.32,2.87,none,running
conveyor,3.3,7.22,38.97,1.3,146.12,5.74,roller_bearing_failure,warning
conveyor,2.26,8.82,56.84,1.36,213.57,2.32,roller_bearing_failure,warning
conveyor,3.51,9.43,62.56,1.34,280.82,2.82,overload,warning
conveyor,3.44,15.95,72.08,1.27,373.26,7.16,overload,fault
conveyor,1.26,5.58,43.84,1.67,140.54,0.5,none,running
conveyor,1.11,6.44,39.43,1.57,199.93,3.82,none,running
conveyor,3.75,6.29,56.18,1.4,187.85,3.63,roller_bearing_failure,warning
conveyor,2.36,19.16,60.77,1.22,543.75,3.2,overload,fault
conveyor,1.98,6.4,46,1.57,224.82,3.24,roller_bearing_failure,running
conveyor,3.43,5.87,51.97,1.46,261.97,2.32,roller_bearing_failure,warning
conveyor,2.37,8.97,55.22,1.24,195.14,10.39,belt_misalignment,fault
conveyor,0.67,7.27,47.45,1.47,224.51,1.53,none,running
conveyor,1.73,8.47,46.2,1.04,186.8,9.18,belt_misalignment,warning
conveyor,2.32,9.05,44.89,1.3,153.2,4.28,roller_bearing_failure,warning
conveyor,0.85,5.36,44.34,1.45,181.99,1.43,none,running
conveyor,1.56,9.19,49.35,1.36,196.16,14,belt_misalignment,fault
conveyor,3.66,7.31,46.88,1.36,147.88,6.07,roller_bearing_failure,warning
conveyor,1.25,7.09,56.11,1.62,217.97,8.74,belt_misalignment,warning
conveyor,0.73,7.16,43.79,1.73,152.02,3.79,none,running
conveyor,2.57,8.09,51.28,1.4,264.82,6.82,belt_misalignment,warning
conveyor,2.79,12.12,52.11,0.88,299.02,5.61,overload,warning
conveyor,1.11,7.15,42.78,1.43,185.76,3.51,none,running
conveyor,2.75,11.79,67.3,1.25,335.8,4.65,overload,warning
conveyor,1.07,7,41.75,1.49,280.77,1.87,none,warning
conveyor,2.5,8.76,51.08,1.35,317.72,12.98,belt_misalignment,fault
conveyor,2.56,7.15,44.92,1.28,284.58,10.85,belt_misalignment,fault
conveyor,0.75,6.67,38.27,1.63,155.85,0.78,none,running
conveyor,1.02,6.93,54.11,1.48,248.9,6.3,roller_bearing_failure,warning
conveyor,1.65,11.12,60.71,1.43,301.06,7.62,belt_misalignment,warning
conveyor,2.67,19.68,76.45,1.1,382.66,4.39,overload,fault
conveyor,1.66,10.52,51.75,1.29,220.21,12.06,belt_misalignment,fault
conveyor,1.11,7.87,49.05,1.48,169.12,3.15,none,running
conveyor,1.82,9,47.18,1.08,187.97,5.28,belt_slip,running
conveyor,0.65,6.81,42.74,1.36,246.85,2.16,none,running
conveyor,3.69,7.25,43,1.32,222.04,4.04,roller_bearing_failure,warning
conveyor,2.72,7.56,57.47,1.46,245.24,4.52,roller_bearing_failure,warning
conveyor,3.94,8.32,46,1.51,204.91,9.23,belt_misalignment,warning
conveyor,0.94,7.42,45.97,1.62,127.19,3.91,none,running
conveyor,2.82,8.62,72.5,1.44,231.94,2.55,gearbox_overheating,warning
conveyor,1.06,9.73,56.54,1.42,219.7,14.1,belt_misalignment,fault
conveyor,2.6,7.86,49.8,1.49,191.99,14.06,belt_misalignment,fault
conveyor,2.43,10.83,62.85,1.59,169.19,3.76,gearbox_overheating,warning
conveyor,2.56,7.29,99.93,1.46,372.58,1.7,gearbox_overheating,fault
conveyor,2.43,7.8,56.33,0.9,260.91,3.98,overload,warning
conveyor,3.01,13.81,62.97,0.9,332.62,4.03,overload,warning
conveyor,3.14,19.01,58.18,1.19,448.27,4.37,overload,fault
conveyor,0.8,6.73,37.75,1.56,246.83,3.84,none,running
conveyor,1.4,12.89,64.94,1.07,309.52,3.46,overload,warning
conveyor,2.1,14.23,50.31,1.37,406.95,3.83,overload,fault
conveyor,2.08,9.93,90.51,1.41,199.5,4.36,gearbox_overheating,fault
conveyor,3.57,8.31,39.77,1.37,184.43,1.74,roller_bearing_failure,warning
conveyor,0.96,6.04,43.61,1.34,202.77,1.52,none,running
conveyor,1.29,10.48,50.54,1.25,278.06,8.96,belt_misalignment,warning
conveyor,2,12.19,65.16,1.23,379.04,2.07,overload,warning
conveyor,0.84,8.07,40.62,1.39,236.63,1.95,none,running
conveyor,2.86,15.44,67.2,1.18,441.65,4.78,overload,fault
conveyor,3.4,13.8,70.19,1.45,364.53,4.05,gearbox_overheating,warning
conveyor,1.85,16.24,73.17,1.06,404.83,1.95,overload,fault
conveyor,1.59,18.16,63.35,1.09,523.28,6.35,overload,fault
conveyor,1.59,13.13,44.13,0.96,124.18,6.2,belt_slip,warning
conveyor,1.83,13.44,88.6,1.22,338.6,4.22,gearbox_overheating,fault
conveyor,1.57,11.1,48.06,0.87,206.9,6.48,belt_slip,warning
conveyor,1.6,14.78,50.81,0.95,448.24,2.52,overload,fault
conveyor,4.14,7.36,58.11,1.47,148.84,3.17,roller_bearing_failure,fault
conveyor,2.01,9.85,45.7,0.94,253.74,3.05,belt_slip,warning
conveyor,0.85,5.88,49.68,1.45,159.36,2.98,none,running
conveyor,1.46,10.59,61.88,1.08,287.55,10.69,belt_misalignment,fault
conveyor,2.8,11.48,60.61,1.14,192.9,7.76,belt_slip,warning
conveyor,2.3,6.42,42.33,1.7,315.47,3.88,roller_bearing_failure,warning
conveyor,0.64,7.23,52.64,1.24,234.94,8.94,belt_misalignment,warning
conveyor,0.76,5.24,43.9,1.32,245.38,1.89,none,running
conveyor,3.08,12.76,41.61,0.86,249.68,7.17,belt_slip,warning
conveyor,1.09,5.76,40.56,1.65,136.01,2.37,none,running
conveyor,1.6,13.68,72.73,0.95,353.75,5.69,overload,warning
conveyor,1.59,6.33,56.8,1.38,274.15,5.45,roller_bearing_failure,running
conveyor,2.91,11.88,60.69,1.09,173.62,2.61,belt_slip,warning
conveyor,0.91,7.44,40.24,1.37,126.38,2.01,none,running
conveyor,2.19,7.45,43,1.68,213.2,6.17,roller_bearing_failure,warning
conveyor,1.28,6.61,40.88,1.7,115.82,4.48,none,running
conveyor,1.55,10.55,69.68,1.13,410.33,7.03,overload,fault
conveyor,1.39,9.07,89.09,1.21,290.65,5.7,gearbox_overheating,fault
conveyor,4.22,5.75,40.67,1.45,253.96,4.05,gearbox_overheating,fault
conveyor,3.71,7.02,84.07,1.57,348.38,4.04,gearbox_overheating,fault
conveyor,1.62,11.59,66.25,1.45,194.3,5.74,gearbox_overheating,warning
conveyor,2.51,9.4,57.98,0.85,167.79,3.73,belt_slip,warning
conveyor,2.91,8.02,43.22,1.27,314.78,6.84,belt_misalignment,warning
conveyor,2.1,9.2,51.21,1.28,222.57,9.07,belt_misalignment,warning
conveyor,2.14,13,56.03,1.08,121.93,7.16,belt_slip,warning
conveyor,1.27,11.18,79.22,1.28,188.26,6.27,gearbox_overheating,warning
conveyor,1.91,13.81,56.82,1.05,218.03,7.4,overload,warning
conveyor,0.68,5.88,47.49,1.44,166.85,1.69,none,running
conveyor,2.01,8.81,61.91,0.9,191.3,4.57,belt_slip,warning
conveyor,1.7,11.22,55.81,1.18,265.35,4.67,overload,warning
conveyor,2.46,17.6,71.01,0.89,484.63,5.8,overload,fault
conveyor,1.15,7.16,49.26,1.47,217.72,3.48,none,running
conveyor,1.54,8.72,105.56,1.55,193.47,3.79,gearbox_overheating,fault
conveyor,2.59,14.61,59.02,0.85,354.38,4.62,overload,fault
conveyor,2.89,10.8,57.12,1.59,186.35,8.08,belt_misalignment,warning
conveyor,2.11,13.58,66.88,1.26,355.54,5.87,overload,warning
conveyor,0.57,11.74,57.23,0.63,130.31,7.14,belt_slip,warning
conveyor,2.17,12.11,99.02,1.52,252.07,4.05,gearbox_overheating,fault
conveyor,1.06,12.72,50.8,1.1,562.8,6.4,overload,fault
conveyor,1.17,13.06,53.69,1.15,222.66,4.94,belt_slip,warning
conveyor,2.69,8.15,57.06,1.46,193.13,5.69,belt_misalignment,warning
conveyor,1.37,6.32,41.62,1.32,173.55,1.1,none,running
conveyor,3.69,7.11,42.92,1.6,231.9,4.43,roller_bearing_failure,warning
conveyor,1.37,14.65,81.65,1.52,208.85,3.59,gearbox_overheating,fault
conveyor,4.35,8.68,47.89,1.57,232.87,2.62,roller_bearing_failure,fault
conveyor,3.85,8.48,59.97,1.47,187.45,1.83,roller_bearing_failure,warning
conveyor,1.62,10.11,58.95,0.49,227.64,6.88,belt_slip,warning
conveyor,1.88,7.11,41.86,1.3,260.19,3.51,roller_bearing_failure,running
conveyor,1.78,8.5,54.18,0.66,118.62,2.46,belt_slip,running
conveyor,0.85,7.94,47.99,1.43,220.04,0.85,none,running
conveyor,2.33,7.51,56.21,1.53,234.1,6.49,belt_misalignment,warning
conveyor,1.05,12.79,89.55,1.63,140.2,6.41,gearbox_overheating,fault
conveyor,3.98,7.77,47.96,1.29,237.11,4.78,jam,warning
conveyor,2.41,8.62,58.85,1.2,286.74,4.9,roller_bearing_failure,warning
conveyor,4.68,5.91,45.85,1.65,230.99,5.65,gearbox_overheating,fault
conveyor,3.26,9.71,57.61,1.3,294.78,4.98,belt_misalignment,warning
conveyor,2.25,6.59,56.39,1.45,215.7,12.36,belt_misalignment,fault
conveyor,2.71,11.5,59.58,0.9,199.33,7.03,belt_slip,warning
conveyor,1.5,11.43,47.7,0.69,196.06,4.99,belt_slip,warning
conveyor,2.63,16.55,64.7,0.89,400.62,4.94,overload,fault
conveyor,3.26,13.01,109.36,1.21,335.88,6.61,gearbox_overheating,fault
conveyor,1.75,13.32,95.27,1.64,271.76,5.94,gearbox_overheating,fault
conveyor,0.99,6.79,37.45,1.34,140.51,1.96,none,running
conveyor,2.42,17.81,58.73,0.92,450.81,1.65,overload,fault
conveyor,0.66,8.15,55.65,0.81,312.58,5.41,overload,warning
conveyor,2.43,9.97,46.62,0.85,313.07,3.94,belt_slip,warning
conveyor,2.98,11.97,56.52,0.91,144.32,3.33,belt_slip,warning
conveyor,2.72,8.9,53.18,1.49,225.05,2.2,roller_bearing_failure,warning
conveyor,2.51,11.85,107.13,1.5,323.48,5.13,gearbox_overheating,fault
conveyor,2.53,7.57,99.56,1.34,298.79,2.38,gearbox_overheating,fault
conveyor,2.57,11.2,91.58,1.55,216.08,5.74,gearbox_overheating,fault
conveyor,0.52,13.6,67.35,0.48,291.79,5.82,belt_slip,warning
conveyor,3.62,8.45,47.7,1.43,172.59,4.2,roller_bearing_failure,warning
conveyor,1.13,7.01,59.19,1.02,210.32,5.51,belt_slip,running
conveyor,2.29,10.51,55.38,1.41,256.11,8.84,belt_misalignment,warning
conveyor,2.07,17.3,62.54,1.02,366.49,6.98,overload,fault
conveyor,1.1,6.56,45.39,1.52,118.87,0.82,none,running
conveyor,2.87,6.09,54.42,0.92,197.89,7.29,belt_slip,warning
conveyor,2.92,5.51,43.36,1.51,223.28,6.25,roller_bearing_failure,warning
conveyor,1.69,17.93,62.73,1.41,448.84,3.61,overload,fault
conveyor,2.19,9.35,95.34,1.66,177,7.01,gearbox_overheating,fault
conveyor,0.97,7.56,37.59,1.72,181.8,0.86,none,running
conveyor,3.28,14.52,52.11,0.99,341.05,7.39,overload,fault
conveyor,1.4,8.01,63.21,0.87,169.37,3.91,belt_slip,running
conveyor,2.39,12.26,49.46,0.79,426.74,2.89,overload,fault
conveyor,2.8,12.86,59.95,0.91,288.77,3.11,overload,warning
conveyor,2.15,12.97,46.16,1.06,125.98,5.32,belt_slip,warning
conveyor,0.82,5.98,46.67,1.42,189.74,3.11,none,running
conveyor,1.53,11.05,57.54,0.64,196.39,4.43,belt_slip,warning
conveyor,2.43,8.77,50.16,1.56,183.52,11.02,belt_misalignment,fault
conveyor,1.25,8.11,54.86,0.55,190.18,6.9,belt_slip,warning
conveyor,2.95,10.59,62.92,0.7,212.24,6.61,belt_slip,warning
conveyor,1.61,9.98,62.48,1.16,223.63,14.07,belt_misalignment,fault
conveyor,3.47,8.38,42.82,1.24,303.58,3.75,roller_bearing_failure,warning
conveyor,2.26,10.29,54.55,1.37,200.17,9.65,belt_misalignment,warning
conveyor,0.85,5.86,44.51,1.41,204.86,1.92,none,running
conveyor,2.22,15.26,57.72,1.17,346.78,4.46,overload,fault
conveyor,3.06,9.98,64.52,1.38,179.19,7.98,belt_misalignment,warning
conveyor,2.58,11.04,49.99,1.03,172.48,5.15,belt_slip,warning
conveyor,1.63,6.1,44.6,1.45,296.14,2.82,roller_bearing_failure,warning
conveyor,2.19,9.77,104.37,1.43,235.18,5.69,gearbox_overheating,fault
conveyor,2.05,9.5,54.58,0.52,132.24,4.17,belt_slip,warning
conveyor,0.86,12.09,76.85,1.08,302.35,3.27,overload,warning
conveyor,2.53,10.88,48.56,1.45,137.19,10.62,belt_misalignment,fault
conveyor,0.68,6.96,44.92,1.47,141.7,3.74,none,running
conveyor,0.82,5.12,43.37,1.34,227.76,4.49,none,running
conveyor,1.95,8.18,62.09,1.51,256.66,6.7,belt_misalignment,warning
conveyor,2.62,9.21,52.08,1.52,281.26,6.87,belt_misalignment,warning
conveyor,2.1,10.44,62.02,1.2,358.87,3.23,overload,warning
conveyor,1.68,8.9,58.94,1.48,159.64,7.46,belt_misalignment,warning
conveyor,1.57,11.06,64.82,1.31,338.84,5.09,overload,warning
conveyor,1.09,12.68,41.69,0.99,285.23,3.42,belt_slip,warning
conveyor,1.79,10.26,67.8,0.56,266.65,2.15,belt_slip,warning
conveyor,1.8,7.44,55.29,0.86,212.14,3.96,belt_slip,running
conveyor,1.45,7.54,47.92,0.62,135.04,6.1,belt_slip,warning
conveyor,1.29,6.72,53.22,1.2,226.2,2.1,roller_bearing_failure,running
conveyor,2.48,8.96,66.47,0.47,148.56,5.73,belt_slip,warning
conveyor,2.46,8.44,44.62,1.5,221.75,13.32,belt_misalignment,fault
conveyor,0.76,5.94,46.34,1.53,139.24,2.51,none,running
conveyor,1.59,7.64,41.91,0.58,113.52,6.6,belt_slip,warning
conveyor,2.54,10.19,66.35,0.43,280.97,2.67,belt_slip,warning
conveyor,1.48,18.67,73.82,0.96,387.96,3.77,overload,fault
conveyor,2.66,7.6,50.99,1.13,214.57,12.39,belt_misalignment,fault
conveyor,0.85,6.73,41.11,1.45,162.12,1.66,none,running
conveyor,1.17,7.74,65.29,1.06,125.96,5.41,belt_slip,warning
conveyor,1.71,10.05,55.87,1.19,119.75,15.02,belt_misalignment,fault
conveyor,2.75,9.6,68.68,0.88,293.47,6.26,overload,warning
conveyor,4.43,7.93,50.89,1.62,247,4.08,roller_bearing_failure,fault
conveyor,1.71,7.31,54.56,0.94,203.36,4.4,belt_slip,running
conveyor,2.43,10.14,47.08,1.56,261.17,7.26,belt_slip,warning
conveyor,4.46,6.69,48.42,1.53,181.46,3.33,roller_bearing_failure,fault
conveyor,2.2,10.79,44.22,0.66,281.71,3.92,belt_slip,warning
conveyor,2.52,7.25,42.3,1.39,238.83,3.14,roller_bearing_failure,warning
conveyor,2.9,7.19,50.8,1.06,290.48,9.02,belt_misalignment,warning
conveyor,0.92,6.19,46.44,1.49,197.85,2.76,none,running
conveyor,3.19,6.97,63.92,1.35,251.05,8.03,belt_misalignment,warning
conveyor,1.45,16.56,60.94,1.34,405.97,4.49,overload,fault
conveyor,2.87,10.68,54.06,0.83,128.46,6.83,belt_slip,warning
conveyor,4.71,6.14,60.09,1.25,183.84,3.38,roller_bearing_failure,fault
conveyor,2.38,11.46,69.11,0.78,303.07,4.36,overload,warning
conveyor,2.43,8.24,57.53,0.93,181.38,3.91,belt_slip,warning
conveyor,2.15,7.47,58.51,0.95,170.58,3,belt_slip,warning
conveyor,0.91,12.39,71.99,1.49,250.43,4.06,gearbox_overheating,warning
conveyor,2.21,12.69,64.61,1.43,239.23,3.53,gearbox_overheating,warning
