machine_type,vibration_mm_s,motor_current_A,bearing_temperature_C,suction_pressure_bar,discharge_pressure_bar,flow_rate_lpm,active_failure,status
pump,1.89,15.21,56.29,1.03,1.47,171.35,impeller_damage,fault
pump,2.7,16.76,73.6,0.95,1.78,155.2,impeller_damage,fault
pump,3.53,15.32,53.68,0.79,3.63,145.11,cavitation,fault
pump,2.69,14.62,54.35,0.69,2.93,165.99,cavitation,warning
pump,0.88,16.57,56.19,1.17,2.71,191.56,seal_leakage,warning
pump,4.09,11.86,62.96,0.14,2.39,140.85,cavitation,fault
pump,1.76,13.86,60.72,1.16,1.17,141.17,impeller_damage,fault
pump,1.23,12.97,61.49,0.94,3.06,178.43,impeller_damage,running
pump,0.96,16.68,40.05,1.08,3.47,276.85,bearing_failure,warning
pump,2.5,10.43,59.38,0.94,4.05,167.42,bearing_failure,warning
pump,1.49,13.59,74.14,1.04,4.64,238.6,bearing_failure,warning
pump,2.41,11.95,53.37,0.82,3.95,184.54,seal_leakage,warning
pump,2.78,18.18,60.8,0.94,4.93,75.78,clogging,fault
pump,1.73,13.47,62.77,0.98,2.53,165.52,bearing_failure,running
pump,1.35,11.11,54.66,0.98,4.04,214,none,running
pump,1.82,21.61,72.74,0.58,6.28,155.4,clogging,fault
pump,2.74,15.57,67.36,0.42,2.96,198.2,cavitation,fault
pump,1.84,14.22,66.23,0.93,3.99,268.52,bearing_failure,warning
pump,1.26,21.99,59.63,1.05,6.8,57.61,clogging,fault
pump,1.54,11.26,51.04,0.89,3.84,179.19,none,running
pump,1.91,20.21,68.16,0.75,6.76,129.86,clogging,fault
pump,1.35,15.01,55.41,1.22,4.65,265.7,none,running
pump,3.23,15.23,67.03,0.93,5.91,156.33,clogging,warning
pump,1.6,13.29,58.29,0.88,3.54,201.67,seal_leakage,running
pump,0.62,16.17,51.83,0.96,3.49,137.53,seal_leakage,warning
pump,3.77,14.3,65.29,1.02,3.75,211.82,bearing_failure,fault
pump,1.3,16.23,50.56,0.97,2.77,159.29,seal_leakage,warning
pump,1.81,11.84,56.45,1.09,3.91,197.11,none,running
pump,1.11,13.49,49.75,1.14,3.79,213.65,none,running
pump,2.88,18.76,75.81,0.69,6.09,145.81,clogging,fault
pump,2.39,12.05,71.3,1.12,2.05,94.81,impeller_damage,warning
pump,1.63,14.59,78.22,0.79,3.52,210.28,bearing_failure,fault
pump,2.86,14.43,77.88,1,4.43,59.11,clogging,fault
pump,2.7,11.83,56.79,0.23,3.23,105.14,cavitation,fault
pump,1.31,13.14,56.76,0.95,2.38,217.04,seal_leakage,warning
pump,1.96,13.04,62.18,1.08,3.43,166.96,seal_leakage,running
pump,3.29,15.31,80.35,0.9,3.88,190.12,bearing_failure,fault
pump,0.99,13.42,53.92,1.1,2.35,207.96,seal_leakage,warning
pump,2.13,22,68.19,0.61,5.12,177.27,clogging,fault
pump,1.96,14.11,51.79,0.93,2.75,156.51,seal_leakage,running
pump,2.9,16.09,79.85,0.92,4.13,241.76,bearing_failure,fault
pump,2.5,14.56,58.09,1.05,1.67,149.94,dry_run,fault
pump,2.28,12.36,62.26,1.01,3.04,69.43,impeller_damage,fault
pump,2.26,15.11,84.47,0.89,3.8,226.34,bearing_failure,fault
pump,1.81,14.12,49.24,0.92,4.04,190.2,none,running
pump,1.89,20.51,75.61,0.91,4.44,134.41,clogging,fault
pump,3.17,11.69,95,0.91,4.16,214.92,bearing_failure,fault
pump,1.22,10.55,60.79,1.06,4.03,201.01,none,running
pump,2.03,15.92,57.15,0.31,2.98,169.61,cavitation,fault
pump,1.21,11.69,56.75,0.84,2.98,124.31,seal_leakage,running
pump,2.89,19.6,68.58,0.46,7,111.23,clogging,fault
pump,1.73,13.23,54.11,1.21,3.58,165.96,seal_leakage,running
pump,0.72,23.76,65.2,0.55,5.79,33.3,clogging,fault
pump,1.71,11.87,49.88,1.16,4.24,188.94,none,running
pump,1.46,13.2,59.43,1.13,4.49,195,none,running
pump,2.5,21,73.1,0.65,6.25,106.38,clogging,fault
pump,3.3,17.57,62.62,0.23,5.92,64.65,clogging,fault
pump,3.25,13.31,77.55,1.13,4.37,234.48,bearing_failure,fault
pump,1.49,17.34,64.21,1.16,1.51,139.05,bearing_failure,fault
pump,2.88,11.74,63.84,1.13,4.34,176.5,bearing_failure,warning
pump,2.3,11.46,64.83,0.81,2.89,130.03,seal_leakage,warning
pump,1.1,12.03,60.77,1.08,4.13,194.49,none,running
pump,1.47,24.14,73.6,0.3,4.59,139.76,clogging,fault
pump,2.1,20.26,73.59,0.47,6.04,65.12,clogging,fault
pump,2.62,13.83,64.95,0.74,5.46,89.97,clogging,warning
pump,0.76,13.33,63.75,1.13,2,200.77,none,warning
pump,2.34,16.23,65.04,0.69,4.54,111.89,clogging,warning
pump,3.31,13.82,66.29,0.68,2.14,177.62,cavitation,warning
pump,1.58,13.57,72.58,0.69,6.66,141.51,clogging,warning
pump,2.95,18.78,76.16,0.61,4.76,108.62,bearing_failure,fault
pump,2.95,12.52,62.39,0.82,2.12,130.53,cavitation,warning
pump,2.77,16.7,71.47,0.73,4.74,59.45,clogging,fault
pump,2.5,24.19,57.77,0.32,5.12,97.06,clogging,fault
pump,1.68,10.18,55.6,1.02,4.7,183.16,none,running
pump,2.36,19.93,60.02,0.81,4.62,62.5,clogging,fault
pump,2.47,16.12,66.07,1.12,1.72,99.76,impeller_damage,fault
pump,1.88,15.82,63.77,0.74,5.79,80.57,clogging,warning
pump,1.08,13.81,53.9,1.23,4.75,205.64,none,running
pump,2.22,21.83,73.19,0.44,5.06,39.93,clogging,fault
pump,1.89,16.02,52.9,1,4.09,268.36,none,warning
pump,2.96,18.38,77.12,1.18,3.66,263.55,bearing_failure,fault
pump,4.65,17.1,58.94,0.17,3.16,150.74,cavitation,fault
pump,4.58,15.61,52.48,0.83,2.59,187.9,cavitation,fault
pump,4.34,15.02,55.65,0.24,3.35,128.34,cavitation,fault
pump,2.08,17.92,63.54,0.8,2.96,108.25,impeller_damage,warning
pump,3.34,15.51,75.26,1,5.2,101.18,clogging,fault
pump,1.94,16.2,55.14,0.97,4.29,246.04,none,warning
pump,1.05,13.63,28.77,1.11,3.45,187.72,bearing_failure,running
pump,2.17,20.5,58.46,0.38,5.47,133.74,clogging,fault
pump,1.47,12.66,62.32,0.97,2.95,187.53,seal_leakage,running
pump,2.65,21.59,64.71,0.54,6.59,68.29,clogging,fault
pump,1.9,11.03,57.07,1.03,3.44,159.68,seal_leakage,running
pump,3.8,14.93,57.29,0.67,2.87,149.24,cavitation,fault
pump,0.94,15.85,70.78,1.02,2.02,143.58,impeller_damage,warning
pump,4.25,9.99,76.98,0.39,1.57,19.19,dry_run,fault
pump,2.68,20.46,63.86,0.94,4.93,77.83,clogging,fault
pump,2.69,16.52,67.22,0.67,1.96,189.41,cavitation,warning
pump,2.07,12.41,66.8,1.22,1.82,93.5,impeller_damage,warning
pump,1.87,13.32,53.34,1.13,3.66,207.89,seal_leakage,running
pump,1.72,25.09,65.25,0.69,4.6,41.27,clogging,fault
pump,1.07,11.08,53.09,1.01,4.34,236.55,none,running
pump,1.6,11.7,57.93,1.07,4.62,259.96,none,running
pump,3.05,11.64,59.66,1.08,4.45,163.3,bearing_failure,warning
pump,1.83,12.25,55.51,1.04,2.25,74.4,impeller_damage,fault
pump,1.07,15.85,58.61,0.87,3.46,211.44,seal_leakage,running
pump,1.96,16.6,62.04,0.76,4.83,112.51,clogging,warning
pump,1.16,15.07,60.95,1.18,3,140.37,seal_leakage,running
pump,3.29,12.1,84,0.05,1.72,61.35,dry_run,fault
pump,2.09,12.83,52.49,0.93,1.93,184.71,seal_leakage,warning
pump,5.08,15.53,67.34,0.17,3.5,173.44,cavitation,fault
pump,3.11,12.5,79.57,0.28,1.42,10.78,dry_run,fault
pump,2.67,6.35,90.44,0,1.08,13.77,dry_run,fault
pump,1.48,10.63,53.63,1.12,4.13,198.05,none,running
pump,2.34,12.84,62.95,0.83,2.38,146.46,impeller_damage,warning
pump,3.68,15.29,71.08,0.39,1.39,4.24,bearing_failure,fault
pump,1.26,12.67,56.19,1.17,4.39,222.72,none,running
pump,2.25,13.04,53.77,1.03,2.72,153.21,seal_leakage,warning
pump,1.52,16.63,61.39,1.05,1.89,147.75,impeller_damage,warning
pump,1.39,13.86,45.32,0.87,2.32,227,seal_leakage,warning
pump,1.43,14.7,66.88,0.99,1.79,102.3,impeller_damage,fault
pump,2.47,11.38,68.84,0,1.89,20.34,dry_run,fault
pump,2.22,11.67,67.84,0.37,3.32,107.09,cavitation,fault
pump,1.92,14.17,49.75,1.05,3.85,178.2,bearing_failure,running
pump,3.06,10.81,60.71,0.42,2.97,124.22,cavitation,fault
pump,2.77,18.22,57.01,0.71,5.62,107.22,clogging,warning
pump,1.41,18.15,61,0.89,1.51,160.82,impeller_damage,fault
pump,3.57,12.12,69.83,1.01,3.56,173.75,bearing_failure,fault
pump,1.07,14.55,56.2,1.01,2.76,167.85,seal_leakage,running
pump,1.95,15.48,52.48,0.35,2.52,143.22,cavitation,fault
pump,2.26,13.11,54.85,1.03,2.74,158.78,seal_leakage,warning
pump,1.55,11.82,48.65,1.04,2.56,131.67,seal_leakage,running
pump,1.81,15.22,56.93,0.93,3.93,267.64,none,running
pump,1.22,7.05,67.02,0.35,1.53,61.45,dry_run,fault
pump,3.69,12.98,92.07,0.07,0.78,72.75,dry_run,fault
pump,1.46,11.58,57.66,0.91,4.02,216.63,none,running
pump,1.8,13.04,63.95,0.26,3.65,99.74,cavitation,fault
pump,1.79,25.91,62.89,0.78,4.57,144.11,clogging,fault
pump,1.97,14.73,58.27,1.02,3.43,157.99,seal_leakage,running
pump,2.27,16.44,81.65,1.18,3.46,241.35,bearing_failure,fault
pump,4.36,12.08,84.37,0.05,0.43,57.16,dry_run,fault
pump,2.05,17.23,61.19,0.89,6.01,97.44,clogging,warning
pump,1.97,15.11,62.06,0.93,3.04,144.7,seal_leakage,running
pump,1.02,13.12,53.42,1.19,4.22,238.32,none,running
pump,1.05,10.92,56,1.07,3.65,186.88,seal_leakage,running
pump,2.39,15.18,68.83,0.93,3.73,229.42,bearing_failure,warning
pump,3.08,12.47,73.2,1.16,4.25,170.97,bearing_failure,warning
